"response","var1","var2"
0,0,-0.879940727
0,1,0.0238535544714153
0,1,-0.132940917225124
0,1,-0.255174216
0,0,-0.920686628
0,1,0.114990476
0,0,-0.436817677
0,1,-0.267166633694205
2,0,-0.652810172
0,1,0.708417726
0,1,0.322984194
0,1,-0.952767474
0,0,-0.305783918
2,1,-0.745493517
0,0,-1.053698353
4,1,-0.940216015
0,0,-0.879940727
1,1,-1.226999141
1,0,-0.380142458
0,0,0.0903365555729212
0,1,-0.459063582
2,1,-0.216563512640361
2,0,-0.952767474
0,0,-0.413246803
0,1,-0.599845149
0,0,-0.516530809
0,1,0.291675436
2,1,-0.87504371
0,1,0.183771394
0,1,-0.359178574
0,1,-0.228044147
0,0,-0.555269639
0,0,-0.185020871
0,0,-1.109223763
2,0,-1.043748864
0,0,-0.609977857852426
0,0,0.136399338
1,0,-0.578737632
0,1,-0.679947546
2,0,-0.178548323
0,1,0.369163459
10,0,-0.216563512640361
0,1,-0.419215423
0,0,-0.565108992
0,0,-1.543587818
0,1,-0.544141968
0,0,0.741306139
0,1,0.0238535544714153
0,0,-0.958127217272114
0,0,-0.08265196
2,0,-0.080609588
1,0,-0.216563512640361
0,1,-0.599845149
0,0,-0.264912548
0,0,-0.2615065524641
0,0,-0.0674957750517453
0,0,-0.568657091
0,0,-0.420723211
6,0,0.143734268
0,1,-0.55520643
0,1,-0.288745402
0,0,-0.333240407
0,1,-0.822678701
0,0,-0.575481170836061
0,0,-0.362059903
0,0,-1.163109833
0,1,0.4481534
1,1,-1.226999141
0,0,-0.473069499
0,1,-0.105933315699979
0,0,-0.035296888
0,0,-0.182489364
0,0,-1.014784681
0,0,0.372175585
1,0,-0.741649564
1,0,-0.770026055
0,0,-0.72116144
1,0,-0.866436855
0,0,-1.043748864
0,0,-0.714125535
1,0,-0.891747742
0,1,0.207184930076503
0,0,-0.269111446
1,0,0.561659041
0,0,-0.525799775
1,1,-0.405339576
0,1,-1.058240488
0,1,0.343739968
0,0,-0.906863714184077
0,0,-0.575481170836061
0,0,0.085326938
0,1,-0.528131713
2,0,-0.064374357
0,1,0.0759796351251362
0,0,-0.2615065524641
0,1,-0.2510865138134
0,1,0.146857084
0,0,-0.378380404
0,1,-0.346320873
0,1,-0.481246529
0,1,-1.017833154
0,0,-0.197378816
0,1,-0.227825417
0,0,-0.941012851
0,0,-0.756195733
0,0,-0.490787208
0,1,-0.259038464
1,0,-0.743872308
0,0,0.561012472
0,1,-0.975516966
0,1,0.0238535544714153
1,1,-0.197323419
0,0,-0.55520643
2,1,-0.413143583
1,1,-0.115663174
3,1,-0.120913495
0,0,-0.686809004
0,1,-0.393232232206472
0,1,-0.096690894
3,1,-0.391975125
0,0,-0.715674749
0,1,-0.206652296
0,0,0.17340831044078
0,1,-1.003822614
0,0,-0.618966354
1,1,-0.041692739
0,1,-0.080752924
1,0,-0.312228649
0,1,-0.430898865
0,1,-0.0682344179578365
3,0,-0.955132326
0,1,-0.647004357
1,0,-0.618966354
0,1,-0.600611245
0,0,-0.736333231
0,0,0.600613937
1,0,0.053632393
1,0,-0.491195793
0,1,-0.261626107
0,0,0.716317354
0,0,-0.077459508
0,0,-0.126214545946518
0,1,-0.381603763
0,1,-0.597168061142214
0,1,-0.822678701
0,1,-1.053698353
2,0,-0.346473765
1,1,-0.193793436
0,1,-0.273218804
1,0,-0.267166633694205
0,1,-0.741600798
0,1,-1.016219476
0,0,-0.532570466
0,1,-0.723458183
0,0,0.480104182
0,1,-0.668850006
0,1,-0.387107985
0,0,-0.513866365
2,1,-0.067313773
0,0,-0.734283059
0,0,-0.599845149
0,1,-0.103651435
0,1,-0.447650247
0,1,-0.741600798
0,1,-0.914236874
0,1,-0.47381676708913
0,1,-0.917066675
0,1,0.667281446
0,1,-0.333902915
0,0,-0.648585191
0,0,-0.45434933
0,1,-0.287886692
0,1,-0.679947546
0,0,0.611457337821512
0,0,-0.70440803
0,0,-0.692847383
0,1,-0.292023371
0,0,-0.495633231
0,1,0.637557102
7,0,-0.850413771
12,1,-0.741600798
0,0,0.500434601
0,1,0.376586565
0,1,-0.505349642
0,0,0.811705058
1,0,-1.226999141
1,1,0.301812986
0,1,-0.202878638
0,0,-0.450936162
0,1,-0.408375668
0,0,-0.642582713
0,1,-0.770026055
0,0,-0.71798026
0,1,-0.55520643
0,0,-0.858946376
0,1,-0.774509064
0,0,-1.507708462
0,1,-0.362059903
0,1,0.312151536
1,0,0.365251363
11,1,-0.527224693334982
3,1,0.668966863
0,0,-0.543467032696583
0,0,-0.5452344
0,1,-0.198826607203974
0,0,0.383873257
1,0,-0.480725240036153
0,1,-0.688589153
0,1,-0.889165444
1,0,-0.506668999
0,0,-0.809672993
0,0,0.511333346
0,0,-0.889165444
1,1,-0.527224693334982
3,0,-0.575481170836061
0,0,-0.19804766
0,1,0.130249004338792
0,1,-0.857969005534509
0,1,0.0302050910313455
0,0,-0.317636964
0,0,0.07912223
0,1,-0.698520229
0,0,-0.741600798
0,1,0.415355235512394
1,0,-0.997833277
1,1,0.476845616
0,0,-0.584372973
0,0,-0.91130519
0,0,-0.532570466
0,0,-0.408116598
0,1,-0.87971463
0,1,0.04431078
0,0,0.606837089
0,0,-0.920686628
0,0,-0.857969005534509
0,0,-0.698919044
0,1,-0.670879624
0,0,-0.027553339
0,0,-0.288424653234999
2,0,-0.397534929
1,0,-0.138443487
0,1,-0.907576069612706
1,0,-0.27988629
0,1,-0.071933646
0,1,-0.6244899572165
0,1,-0.333902915
1,1,-0.601294656
0,0,0.765983638
0,0,-0.416890146
3,0,-0.197323419
0,1,-1.022720617
0,1,-0.623802712
0,0,-0.843504424
0,0,-0.663145563
0,0,1.023920761
0,1,0.282257292
0,0,-0.840513975
0,0,-0.538812679
1,1,-0.301256885
0,1,-0.324262518
0,1,-0.866445548
0,0,0.492452707
0,1,0.02509612
0,0,-0.805644016
1,0,0.175127379
0,1,-0.648314364
0,1,-0.205719851
0,0,-0.557027184
0,1,0.286409858
0,1,-0.87971463
0,0,0.337769598
0,1,-1.01754939
0,1,-0.831607407
0,0,-0.581514908
0,0,-0.68800158
0,0,-0.440219715
0,1,-0.068400766
0,1,-0.638004312
1,0,-0.858946376
0,1,-0.600611245
0,0,-0.211657019
0,0,-0.477220369
0,0,-0.730224112
0,1,0.278000229
0,0,-0.951286639
0,0,-0.133459564212815
1,1,-0.23880309
0,0,-0.712127285
0,1,-0.013315816
1,1,-0.645006118
1,0,-0.576435689
0,1,0.198913901
0,1,-0.213629836
0,1,-0.589345119
0,0,-0.241237959
0,0,-0.498290698
0,1,0.124790804
0,1,-0.168246439
0,1,-0.593897983
2,0,0.697517235
0,0,-0.116657701636181
0,0,-1.058240488
0,1,-0.773814839
0,0,-1.015009045
3,1,-0.947856971
4,1,-0.599845149
2,0,-0.583893805
0,0,-0.305756267
7,1,-0.55520643
0,0,-0.724851541
0,1,-0.874649657
2,1,-0.164425144
2,0,-0.715525093935968
0,0,0.67490703
2,0,-0.481246529
0,1,-0.650528042
0,1,0.0303549632791386
0,0,-0.532570466
0,1,-0.527437158
0,0,-0.22069571
0,0,-0.126214545946518
0,1,-0.027553339
0,0,-0.547714659
0,1,-0.133459564212815
0,0,-0.831607407
1,1,-0.381603763
0,0,-0.688589153
0,1,-0.414417588
1,0,-0.822953987
0,1,-0.583893805
0,1,-0.514268199
0,1,-0.596738854
0,1,-0.440219715
0,0,-0.400914384972338
1,1,0.135498102
3,1,-0.642459215
0,0,-0.879940727
0,1,-0.578737632
0,1,-0.267166633694205
0,0,0.0415994432493632
0,0,-0.741600798
0,0,-0.140259486
1,0,0.587538925
0,1,-0.543467032696583
0,0,-0.663145563
0,1,0.537775182
1,0,-0.764985926
0,0,-0.340012588
3,1,0.122984881
1,0,-0.292665137
0,0,-0.40630352250295
0,1,-0.08265196
0,0,-0.296386404
0,1,-0.857969005534509
0,1,-0.395709194
0,1,0.554687981
0,1,-0.301256885
0,1,0.758316476
0,0,-0.551769668
0,0,0.026706405
0,1,0.542543017
0,0,-1.046953468
0,1,-1.041621215
0,0,-0.484309536119262
0,1,-0.291104353
0,1,-0.198826607203974
0,1,-0.578087155
0,1,-0.383788237543644
0,0,-0.162946073
0,0,-0.192239467
0,1,0.933267972
1,1,-0.34177752
0,0,-1.046953468
0,0,-1.14977823
0,1,-1.038060965
0,0,0.120190434
0,0,-0.601294656
0,0,-0.649811166
1,1,-0.132940917225124
0,0,-0.906863714184077
0,0,-0.526687468
0,1,-0.301256885
2,1,0.544414038
0,0,-0.849431324
1,0,-0.5452344
0,0,-0.143458898
0,0,-0.832977816
0,0,-0.126214545946518
1,0,-0.642582713
0,0,-0.920414001
0,0,-0.997833277
0,0,-0.603405554
0,1,0.124790804
0,0,-0.714125535
0,0,0.130249004338792
0,1,-0.666070909
0,1,-0.27309821140691
0,1,-1.139608126
0,0,0.432189554
0,1,-0.194723359978277
0,1,-0.3138236
0,1,-0.958127217272114
0,1,-0.703266405
1,1,-0.391598577
0,0,-0.679947546
0,1,-1.214725534
3,0,-0.483434176
0,1,-0.547714659
0,0,-0.133459564212815
1,0,-0.350793303
0,1,-0.578087155
0,0,-0.116657701636181
0,1,0.554687981
0,0,-0.134469858
0,1,-0.775732275
0,1,-0.774509064
0,1,-0.741600798
1,1,-0.301645069
0,1,0.177318852
0,0,-0.342647624
0,1,-0.814043228
0,1,-0.438921674512848
1,0,-0.159352639
0,0,-0.495270139331739
0,0,-0.318973816
0,1,0.663378768
0,0,-0.157972571
1,1,-0.349294498
3,1,0.085326938
1,0,-0.517905749950236
0,0,-0.156525185
0,0,-0.828347985
0,1,0.456109628
0,1,-0.826497507
0,0,-0.393232232206472
0,1,0.554687981
0,0,-0.648585191
0,0,-0.831607407
1,1,-0.483434176
0,0,-0.42644627
0,0,-0.362059903
0,1,-0.564263363
0,0,0.054688264
0,0,-0.530752137
0,1,-0.197323419
1,0,-0.018886049
1,0,-0.779087514107657
3,0,0.616918525
1,0,-0.690182557
0,0,-0.429025153
0,1,-0.582641361
0,1,-0.45434933
0,1,-0.986482669
0,1,-0.589345119
0,0,-0.316645751
0,1,-0.08265196
0,1,-0.866436855
0,1,0.675972046
0,1,-0.55520643
0,1,-0.676869036
0,0,-0.555464246
1,0,-0.68800158
0,1,-0.627673638
0,0,-0.858863715
0,0,-0.715525093935968
0,1,-0.008593785
7,0,-0.511540544
0,1,0.616918525
0,1,0.259834778
0,1,-0.346253984
0,0,-0.419974507
0,1,-0.468934047
0,0,-0.75973434
0,0,-0.615923861
0,1,-0.621021513
0,0,-0.844365089
